#       time                file                area                mass    irreducible mass                spin      dimless spin-x      dimless spin-y      dimless spin-z  dimless spin-z-alt     linear mom. |P|      linear mom. Px      linear mom. Py      linear mom. Pz            origin_x            origin_y            origin_z            center_x            center_y            center_z
  26.0000000    1.3000000000e+01    1.2533522473e+01    4.9934608024e-01    4.9934607939e-01    5.8488232630e-05   -1.4221827017e-05    2.7403515533e-05    1.1298735487e-04    0.0000000000e+00    8.0685257310e-02   -7.1348643346e-02   -3.7676011464e-02   -9.4264204701e-08    2.5334234706e+02    2.6145923932e+02    0.0000000000e+00    2.5335969087e+02    2.6146782383e+02    3.3545388689e-13
  28.0000000    1.4000000000e+01    1.2534392230e+01    4.9936340618e-01    4.9936340501e-01    6.8246581856e-05   -1.5438281630e-05    2.6858965391e-05    1.3310961604e-04    0.0000000000e+00    8.0570924252e-02   -6.9596496981e-02   -4.0595584031e-02   -9.0101359697e-08    2.5313053807e+02    2.6134499560e+02    0.0000000000e+00    2.5314752655e+02    2.6135430814e+02    4.2191250493e-13
  30.0000000    1.5000000000e+01    1.2534899945e+01    4.9937351991e-01    4.9937351845e-01    7.6367285421e-05   -1.6432757123e-05    2.6258149027e-05    1.4975610511e-04    0.0000000000e+00    8.0486138521e-02   -6.7749391596e-02   -4.3451564211e-02   -8.4214866650e-08    2.5292240568e+02    2.6122176399e+02    0.0000000000e+00    2.5293900268e+02    2.6123164693e+02    4.3856585030e-13
  32.0000000    1.6000000000e+01    1.2535093328e+01    4.9937737185e-01    4.9937737048e-01    7.3948213353e-05   -1.7712058173e-05    2.5518409946e-05    1.4478613389e-04    0.0000000000e+00    8.0408072840e-02   -6.5776476867e-02   -4.6248386662e-02   -7.0317007513e-08    2.5271864109e+02    2.6108917537e+02    0.0000000000e+00    2.5273478363e+02    2.6109982290e+02    5.4717341769e-13
  34.0000000    1.7000000000e+01    1.2535569846e+01    4.9938686394e-01    4.9938686224e-01    8.2302766481e-05   -1.8505660472e-05    2.4842228168e-05    1.6187019424e-04    0.0000000000e+00    8.0318270792e-02   -6.3845056986e-02   -4.8732261609e-02   -6.2048600802e-08    2.5251933547e+02    2.6094824886e+02    0.0000000000e+00    2.5253505206e+02    2.6095937030e+02    5.7218119132e-13
  36.0000000    1.8000000000e+01    1.2535656918e+01    4.9938859853e-01    4.9938859661e-01    8.7731586611e-05   -1.9466445001e-05    2.4125327770e-05    1.7292132092e-04    0.0000000000e+00    8.0234429194e-02   -6.1857377587e-02   -5.1100180686e-02   -5.6858046622e-08    2.5232478404e+02    2.6079904696e+02    0.0000000000e+00    2.5234002293e+02    2.6081073772e+02    5.3435034175e-13
  38.0000000    1.9000000000e+01    1.2535905467e+01    4.9939354913e-01    4.9939354736e-01    8.3917345508e-05   -2.0522515349e-05    2.3276197518e-05    1.6514837034e-04    0.0000000000e+00    8.0187562521e-02   -5.9624382648e-02   -5.3618822972e-02   -5.4883893899e-08    2.5213567675e+02    2.6064148122e+02    0.0000000000e+00    2.5215032697e+02    2.6065377325e+02    5.6024629380e-13
  40.0000000    2.0000000000e+01    1.2536162131e+01    4.9939866135e-01    4.9939865970e-01    8.1278255249e-05   -2.1444593624e-05    2.2440073394e-05    1.5976503699e-04    0.0000000000e+00    8.0116593590e-02   -5.7251228039e-02   -5.6044316898e-02   -5.0591155798e-08    2.5195248956e+02    2.6047582989e+02    0.0000000000e+00    2.5196656863e+02    2.6048864856e+02    7.6019746054e-13
  42.0000000    2.1000000000e+01    1.2536150098e+01    4.9939842163e-01    4.9939842003e-01    7.9897322983e-05   -2.2329017239e-05    2.1538397250e-05    1.5695029780e-04    0.0000000000e+00    8.0041270651e-02   -5.4838850389e-02   -5.8303563317e-02   -4.4642118096e-08    2.5177564939e+02    2.6030243830e+02    0.0000000000e+00    2.5178912097e+02    2.6031575741e+02    9.8532293435e-15
  44.0000000    2.2000000000e+01    1.2536170301e+01    4.9939882395e-01    4.9939882245e-01    7.7455662489e-05   -2.3197829399e-05    2.0595251323e-05    1.5196389742e-04    0.0000000000e+00    7.9995337403e-02   -5.2344248018e-02   -6.0492426845e-02   -4.0710626536e-08    2.5160548706e+02    2.6012153972e+02    0.0000000000e+00    2.5161832615e+02    2.6013535018e+02   -9.8476782284e-14
