#       time         integral Re         integral Im
#       r =            40.000000           40.000000
   0.0000000    2.5878834521e-05   -9.9191452195e-22
   0.5000000    2.5854612768e-05   -6.2447565121e-22
   1.0000000    2.5866118732e-05   -5.3393155164e-22
   1.5000000    2.5879048009e-05   -3.8927159341e-22
   2.0000000    2.5884164595e-05   -5.2594094182e-22
   2.5000000    2.5887653900e-05   -8.2966042474e-22
   3.0000000    2.5907447329e-05   -9.7997420211e-22
   3.5000000    2.5936667640e-05   -1.0445592280e-21
   4.0000000    2.5941937669e-05   -1.1130355392e-21
   4.5000000    2.5905362010e-05   -2.0663835182e-23
   5.0000000    2.5849100101e-05   -4.7084959761e-22
   5.5000000    2.5809944701e-05   -2.7404865474e-22
   6.0000000    2.5801598493e-05   -1.2636157607e-21
   6.5000000    2.5808720074e-05   -1.0957628477e-21
   7.0000000    2.5809871364e-05   -1.1717918974e-21
   7.5000000    2.5798158861e-05   -8.4227512380e-22
   8.0000000    2.5781477182e-05   -2.7573533500e-22
   8.5000000    2.5770119228e-05   -2.1572390139e-22
   9.0000000    2.5767992946e-05   -4.3253686998e-22
   9.5000000    2.5772915265e-05   -7.6890368727e-22
  10.0000000    2.5780416416e-05   -5.6328494518e-22
  10.5000000    2.5786001218e-05   -3.2965217425e-22
  11.0000000    2.5786272192e-05   -1.1958441593e-21
  11.5000000    2.5780312537e-05   -3.5411255450e-22
  12.0000000    2.5770300962e-05   -8.5993950323e-22
  12.5000000    2.5760059181e-05   -8.0971063857e-22
  13.0000000    2.5752547061e-05   -9.2112719617e-22
  13.5000000    2.5748524495e-05   -6.6295590179e-22
  14.0000000    2.5747158113e-05   -6.4359903536e-22
  14.5000000    2.5747427473e-05   -7.7125693883e-22
  15.0000000    2.5749023473e-05   -4.7776231697e-22
  15.5000000    2.5752569421e-05   -5.4648517481e-22
  16.0000000    2.5759578140e-05   -9.9311839632e-22
  16.5000000    2.5772029384e-05   -9.5180008427e-23
  17.0000000    2.5790788307e-05   -3.8294551012e-22
  17.5000000    2.5812642137e-05   -5.2506501082e-22
  18.0000000    2.5829097644e-05   -9.1782479587e-22
  18.5000000    2.5834809919e-05   -1.2098374113e-21
  19.0000000    2.5848176638e-05    1.8583238987e-22
  19.5000000    2.5920450042e-05   -4.1024086018e-22
  20.0000000    2.6089862887e-05    3.7660931011e-22
  20.5000000    2.6288625383e-05   -3.8901654997e-22
  21.0000000    2.6332896320e-05   -2.4937875881e-21
  21.5000000    2.6151222781e-05   -5.0228090459e-21
  22.0000000    2.6125644267e-05   -5.8292382263e-21
  22.5000000    2.6981931931e-05   -6.7671357515e-22
  23.0000000    2.8808061050e-05    1.1791699932e-20
  23.5000000    3.0011305209e-05    2.5538810594e-20
  24.0000000    2.8056003242e-05    2.9363704789e-20
  24.5000000    2.2211968751e-05    1.2080069048e-20
  25.0000000    1.5082546392e-05   -3.1441672834e-20
  25.5000000    1.0072747123e-05   -7.2435079124e-20
  26.0000000    8.4334697475e-06   -7.6542626854e-20
  26.5000000    1.2516627250e-05   -1.0619526165e-20
  27.0000000    3.1741979367e-05    7.9650903123e-20
  27.5000000    7.6509958119e-05    1.2524082018e-19
  28.0000000    1.3682342660e-04    4.2666538997e-20
  28.5000000    1.7053477932e-04   -8.4022108186e-20
  29.0000000    1.2875858746e-04   -1.0278308133e-19
  29.5000000    5.2705550754e-06    4.0781338222e-20
  30.0000000   -1.4098957236e-04    2.3734414941e-19
  30.5000000   -2.2166307503e-04    3.0927506318e-19
  31.0000000   -1.8398238001e-04    5.5939995748e-20
  31.5000000   -4.5148862333e-05   -3.0416635691e-19
  32.0000000    1.3011631799e-04   -5.9869954231e-19
  32.5000000    2.7817928986e-04   -5.6636773995e-19
  33.0000000    3.6515855616e-04   -1.6001875160e-19
  33.5000000    3.8471514534e-04    3.3841165134e-19
  34.0000000    3.4741477815e-04    7.3381177524e-19
  34.5000000    2.7872242826e-04    8.4370300493e-19
  35.0000000    2.1890188387e-04    5.8508554232e-19
  35.5000000    2.1199940487e-04    1.9921234954e-19
  36.0000000    2.8558856403e-04   -2.0588819254e-19
  36.5000000    4.3536836894e-04   -4.6169554595e-19
  37.0000000    6.2618191649e-04   -5.1048199684e-19
  37.5000000    8.0828942280e-04   -3.2707581131e-19
  38.0000000    9.3610300855e-04   -2.9108773154e-20
  38.5000000    9.7593535278e-04    2.6286737961e-19
  39.0000000    9.0194692548e-04    4.9561020204e-19
  39.5000000    6.9334518254e-04    5.8286925305e-19
  40.0000000    3.4398127428e-04    5.1792904181e-19
  40.5000000   -1.2226775192e-04    3.5926981163e-19
  41.0000000   -6.4957445895e-04    1.4001811681e-19
  41.5000000   -1.1705669786e-03   -9.6462736526e-20
  42.0000000   -1.6351072977e-03   -3.7563109700e-19
  42.5000000   -2.0233334408e-03   -6.5764574401e-19
  43.0000000   -2.3329208788e-03   -8.5406667117e-19
  43.5000000   -2.5538815853e-03   -8.7091646173e-19
  44.0000000   -2.6540920994e-03   -6.5365537149e-19
  44.5000000   -2.5876182842e-03   -3.3891375209e-19
  45.0000000   -2.3187478020e-03   -2.7495167416e-20
  45.5000000   -1.8445991825e-03    1.9338828895e-19
  46.0000000   -1.2031092284e-03    2.1243245636e-19
  46.5000000   -4.6371504144e-04    3.1432907637e-19
  47.0000000    2.9326942193e-04    2.4569043376e-19
  47.5000000    9.9827490548e-04    1.5084374371e-19
  48.0000000    1.6048516562e-03    2.6086630642e-19
  48.5000000    2.0879942612e-03    3.2612607518e-19
  49.0000000    2.4330511521e-03    3.2192360852e-19
  49.5000000    2.6265634911e-03    2.6853814817e-19
  50.0000000    2.6575969335e-03    1.3537508824e-19
  50.5000000    2.5275984687e-03   -4.4962207901e-20
  51.0000000    2.2584698310e-03   -2.2588412941e-19
  51.5000000    1.8902026883e-03   -3.4830189609e-19
  52.0000000    1.4686954397e-03   -3.3838042724e-19
  52.5000000    1.0321395202e-03   -3.2608834768e-19
  53.0000000    6.0445459776e-04   -2.9230009195e-19
  53.5000000    1.9819843783e-04   -1.2709123533e-19
  54.0000000   -1.7710050455e-04   -3.3165463683e-20
  54.5000000   -5.0781682629e-04    8.5536462674e-20
  55.0000000   -7.7492407529e-04    1.2226768230e-19
  55.5000000   -9.5870861154e-04    1.8827693743e-19
  56.0000000   -1.0461114199e-03    1.8366137699e-19
  56.5000000   -1.0366730469e-03    1.6926066819e-19
  57.0000000   -9.4483859328e-04    1.2210343155e-19
  57.5000000   -7.9826694298e-04    7.9502880827e-21
  58.0000000   -6.3238703795e-04   -9.2789515831e-20
  58.5000000   -4.8166207078e-04   -1.4645629503e-19
  59.0000000   -3.6946491933e-04   -1.1224793209e-19
  59.5000000   -3.0073200881e-04   -4.6765645558e-20
  60.0000000   -2.6198366897e-04    1.1877079780e-20
  60.5000000   -2.2995220457e-04    9.5156816663e-20
  61.0000000   -1.8459540085e-04    1.0417670753e-19
  61.5000000   -1.1898195265e-04    5.4175330946e-20
  62.0000000   -4.0424541585e-05    7.4513952082e-21
  62.5000000    3.6777683606e-05   -6.3795775736e-21
  63.0000000    1.0102560007e-04    5.3260813646e-20
  63.5000000    1.4877953804e-04    1.3411310616e-19
  64.0000000    1.8330419556e-04    1.8836716985e-19
  64.5000000    2.0991312150e-04    1.7805897549e-19
  65.0000000    2.3222256614e-04    1.1090413661e-19
  65.5000000    2.5105661647e-04   -2.4911055683e-20
  66.0000000    2.6471666659e-04   -1.2347234007e-19
  66.5000000    2.6942798869e-04   -2.0478341802e-19
  67.0000000    2.6043302836e-04   -2.1141396304e-19
  67.5000000    2.3430761004e-04   -1.6203843277e-19
  68.0000000    1.9139830708e-04   -9.4551081933e-20
  68.5000000    1.3636340732e-04   -1.5624673503e-20
  69.0000000    7.6190485683e-05    1.8273051600e-20
  69.5000000    1.7303885252e-05    4.1918226704e-20
  70.0000000   -3.6005252409e-05    4.3846174905e-20
  70.5000000   -8.1112712290e-05    4.7272680407e-20
  71.0000000   -1.1571117222e-04    6.5746112289e-20
  71.5000000   -1.3710949007e-04    9.3242204815e-20
  72.0000000   -1.4267762843e-04    1.0154621678e-19
  72.5000000   -1.3092486284e-04    7.8836246445e-20
  73.0000000   -1.0257339790e-04    2.8487737352e-20
  73.5000000   -6.1239380073e-05   -3.2843082800e-20
  74.0000000   -1.3298746378e-05   -9.1627280874e-20
  74.5000000    3.3453873692e-05   -1.0817656790e-19
  75.0000000    7.2011557132e-05   -9.3181493564e-20
  75.5000000    9.7943453323e-05   -5.0908436860e-20
  76.0000000    1.0962050124e-04   -6.5152551778e-21
  76.5000000    1.0715644272e-04    1.9648779075e-20
  77.0000000    9.1534258951e-05    2.2533423516e-20
  77.5000000    6.4930952365e-05    1.4426379986e-20
  78.0000000    3.1672133617e-05    8.8966258798e-21
  78.5000000   -1.6491227939e-06    1.1816002515e-20
  79.0000000   -2.7676498943e-05    2.3207927680e-20
  79.5000000   -4.0795292489e-05    3.5880698333e-20
  80.0000000   -3.9195433053e-05    3.6183673928e-20
  80.5000000   -2.5290919320e-05    1.2600963594e-20
  81.0000000   -4.2497335609e-06   -1.9133499041e-20
  81.5000000    1.8501128861e-05   -4.2461055716e-20
  82.0000000    3.9284304651e-05   -4.3441024997e-20
  82.5000000    5.6553734884e-05   -2.1432855038e-20
  83.0000000    6.9778323250e-05    1.6584257802e-20
  83.5000000    7.8097308306e-05    5.0505897451e-20
  84.0000000    8.0022997702e-05    6.4264488932e-20
  84.5000000    7.4426351955e-05    5.3532228322e-20
  85.0000000    6.1941087465e-05    1.7079104356e-20
  85.5000000    4.5572709056e-05   -2.8632183283e-20
  86.0000000    2.9804994112e-05   -5.9521403583e-20
  86.5000000    1.8509996555e-05   -6.9998933972e-20
  87.0000000    1.2920603856e-05   -5.3117883597e-20
  87.5000000    1.1116806053e-05   -2.3175631664e-20
  88.0000000    9.5463810144e-06    4.3548463366e-21
  88.5000000    5.6132297725e-06    2.4110042298e-20
  89.0000000   -4.5533882097e-07    2.4039794244e-20
  89.5000000   -5.6892657335e-06    1.8294387941e-20
  90.0000000   -6.2080858780e-06    7.9489982562e-21
  90.5000000    4.9505549035e-07    7.7282233721e-21
  91.0000000    1.4189894685e-05    2.0107525289e-20
  91.5000000    3.2049513917e-05    3.8718539130e-20
  92.0000000    4.9898275797e-05    5.2145080257e-20
  92.5000000    6.3654672132e-05    5.2429926864e-20
  93.0000000    7.0278793578e-05    3.4586684694e-20
  93.5000000    6.8172992192e-05    3.8967069578e-21
  94.0000000    5.7377256306e-05   -3.0567472804e-20
  94.5000000    3.9733637566e-05   -6.2302712256e-20
  95.0000000    1.8808810054e-05   -7.7304785242e-20
  95.5000000   -7.3352923635e-07   -6.6422113145e-20
  96.0000000   -1.4328442710e-05   -4.8884969678e-20
  96.5000000   -1.8890675060e-05   -1.7470913577e-20
  97.0000000   -1.3791889169e-05    1.0809751181e-20
  97.5000000   -9.7696752661e-07    3.1388240334e-20
  98.0000000    1.5831636475e-05    4.0995645807e-20
  98.5000000    3.2454394207e-05    4.4871620089e-20
  99.0000000    4.5510986648e-05    4.4057140459e-20
  99.5000000    5.3154091056e-05    4.0113661556e-20
 100.0000000    5.5161198890e-05    3.4468365401e-20
 100.5000000    5.2573610643e-05    2.3802422447e-20
 101.0000000    4.7158374479e-05    7.8636208445e-21
 101.5000000    4.0844456596e-05   -4.0236401782e-21
 102.0000000    3.5166735146e-05   -1.8071707275e-20
 102.5000000    3.0811089331e-05   -2.7718088762e-20
 103.0000000    2.7475227826e-05   -2.8491327394e-20
 103.5000000    2.4190583343e-05   -2.4768151058e-20
 104.0000000    1.9974153994e-05   -1.4345001818e-20
 104.5000000    1.4460842966e-05   -6.3529164117e-21
 105.0000000    8.2084566575e-06    9.5589601096e-22
 105.5000000    2.5788339436e-06    4.1338664325e-21
 106.0000000   -7.2144733536e-07    4.0095549589e-21
 106.5000000   -2.6754385010e-07    2.1450107568e-21
 107.0000000    4.5224897149e-06    3.3100199416e-21
 107.5000000    1.3142218007e-05    7.3055478806e-21
 108.0000000    2.4195193428e-05    1.3688073007e-20
 108.5000000    3.5908202193e-05    1.7923366930e-20
 109.0000000    4.6634290382e-05    1.6243453530e-20
 109.5000000    5.5073535940e-05    8.4769586153e-21
 110.0000000    6.0195712948e-05    2.4524363612e-21
 110.5000000    6.1084180165e-05   -1.7907904284e-21
 111.0000000    5.6968356730e-05    3.4127624202e-21
 111.5000000    4.7562069690e-05    1.0606930559e-20
 112.0000000    3.3566065506e-05    1.6042451507e-20
 112.5000000    1.6981643377e-05    1.0615318705e-20
 113.0000000    9.0069455927e-07   -2.0116496150e-21
 113.5000000   -1.1267479243e-05   -1.5839224658e-20
 114.0000000   -1.6806321481e-05   -2.5476847963e-20
 114.5000000   -1.4474951073e-05   -2.3797922439e-20
 115.0000000   -4.7771524167e-06   -1.3972467946e-20
 115.5000000    1.0272752495e-05   -2.0816118547e-21
 116.0000000    2.7695052407e-05    1.3458805246e-20
 116.5000000    4.4198438469e-05    2.5192936506e-20
 117.0000000    5.6808367113e-05    3.1761069013e-20
 117.5000000    6.3392290183e-05    3.1049536089e-20
 118.0000000    6.3020357245e-05    2.0951348403e-20
 118.5000000    5.6098728848e-05    4.4756368064e-21
 119.0000000    4.4242305052e-05   -1.3724904058e-20
 119.5000000    2.9929194208e-05   -2.6902416341e-20
