#       time         integral Re         integral Im
#       r =            40.000000           40.000000
   0.0000000    3.1962160941e-05   -6.7548053507e-05
   0.5000000    3.1928029052e-05   -6.8170292205e-05
   1.0000000    3.1891693232e-05   -6.8774926798e-05
   1.5000000    3.1855758512e-05   -6.9367324138e-05
   2.0000000    3.1819362478e-05   -6.9945503272e-05
   2.5000000    3.1781197681e-05   -7.0508447319e-05
   3.0000000    3.1739972154e-05   -7.1055252874e-05
   3.5000000    3.1694864090e-05   -7.1584730209e-05
   4.0000000    3.1645706925e-05   -7.2095259157e-05
   4.5000000    3.1592852700e-05   -7.2584939082e-05
   5.0000000    3.1536538092e-05   -7.3051844967e-05
   5.5000000    3.1476464580e-05   -7.3494202187e-05
   6.0000000    3.1412012517e-05   -7.3910414824e-05
   6.5000000    3.1342608812e-05   -7.4298980376e-05
   7.0000000    3.1267770178e-05   -7.4658357063e-05
   7.5000000    3.1186957017e-05   -7.4986847328e-05
   8.0000000    3.1099535369e-05   -7.5282537917e-05
   8.5000000    3.1004852543e-05   -7.5543296715e-05
   9.0000000    3.0902281672e-05   -7.5766788045e-05
   9.5000000    3.0791186960e-05   -7.5950458474e-05
  10.0000000    3.0670852075e-05   -7.6091474768e-05
  10.5000000    3.0540415389e-05   -7.6186640365e-05
  11.0000000    3.0398836114e-05   -7.6232334862e-05
  11.5000000    3.0244901537e-05   -7.6224495900e-05
  12.0000000    3.0077262635e-05   -7.6158623268e-05
  12.5000000    2.9894458667e-05   -7.6029771542e-05
  13.0000000    2.9694893616e-05   -7.5832518623e-05
  13.5000000    2.9476774948e-05   -7.5560925323e-05
  14.0000000    2.9238068062e-05   -7.5208504985e-05
  14.5000000    2.8976490039e-05   -7.4768197690e-05
  15.0000000    2.8689493559e-05   -7.4232316665e-05
  15.5000000    2.8374188269e-05   -7.3592439291e-05
  16.0000000    2.8027239626e-05   -7.2839260271e-05
  16.5000000    2.7644867836e-05   -7.1962487159e-05
  17.0000000    2.7223069203e-05   -7.0950904186e-05
  17.5000000    2.6758036422e-05   -6.9792628126e-05
  18.0000000    2.6246028465e-05   -6.8475085676e-05
  18.5000000    2.5680625656e-05   -6.6983730140e-05
  19.0000000    2.5046745596e-05   -6.5299608305e-05
  19.5000000    2.4319861939e-05   -6.3398895561e-05
  20.0000000    2.3488036527e-05   -6.1257555469e-05
  20.5000000    2.2598076655e-05   -5.8855699729e-05
  21.0000000    2.1777000954e-05   -5.6165753222e-05
  21.5000000    2.1148485438e-05   -5.3119936648e-05
  22.0000000    2.0631001078e-05   -4.9603847276e-05
