#       time                file                area                mass    irreducible mass                spin      dimless spin-x      dimless spin-y      dimless spin-z  dimless spin-z-alt     linear mom. |P|      linear mom. Px      linear mom. Py      linear mom. Pz            origin_x            origin_y            origin_z            center_x            center_y            center_z
   0.0000000    0.0000000000e+00    1.2567587977e+01    5.0002421814e-01    5.0002421807e-01    1.6179858381e-05   -1.4396671931e-10    1.9614516896e-08   -3.2358143509e-05    0.0000000000e+00    8.4121770432e-02    8.4120221303e-02    5.1051651363e-04   -1.1815754802e-06    2.5600000000e+02    2.4989321000e+02    0.0000000000e+00    2.5599584777e+02    2.4989308862e+02    6.4531713306e-15
   2.0000000    1.0000000000e+00    1.2569343082e+01    5.0005913274e-01    5.0005913187e-01    5.9192571753e-05    8.4790743803e-07   -1.4562520168e-05   -1.1746889741e-04    0.0000000000e+00    8.2726881719e-02    8.2689521334e-02    2.4859645183e-03   -1.0113625544e-06    2.5610514792e+02    2.4989523254e+02    0.0000000000e+00    2.5609520865e+02    2.4989460476e+02    1.0645651027e-12
   4.0000000    2.0000000000e+00    1.2566250908e+01    4.9999762221e-01    4.9999761851e-01    1.2159157816e-04    3.0198208885e-06   -2.8002181625e-05   -2.4154785965e-04    0.0000000000e+00    8.5366455841e-02    8.5159538636e-02    5.9400977986e-03   -5.7404223619e-07    2.5630436202e+02    2.4990521087e+02    0.0000000000e+00    2.5628939610e+02    2.4990344932e+02   -1.7208456882e-15
   6.0000000    3.0000000000e+00    1.2558008666e+01    4.9983361987e-01    4.9983361665e-01    1.1350752869e-04    3.7974630087e-06   -3.0494379761e-05   -2.2500183031e-04    0.0000000000e+00    8.0880247983e-02    8.0417566435e-02    8.6388380128e-03   -4.0242959071e-07    2.5650793731e+02    2.4992240474e+02    0.0000000000e+00    2.5649092186e+02    2.4992009386e+02    2.4646951147e-14
   8.0000000    4.0000000000e+00    1.2550110107e+01    4.9967640606e-01    4.9967640278e-01    1.1452746642e-04    4.6310767103e-06   -2.8587265598e-05   -2.2736635754e-04    0.0000000000e+00    8.0023861954e-02    7.9215318409e-02    1.1346885531e-02   -3.4552087931e-07    2.5670919644e+02    2.4994661958e+02    0.0000000000e+00    2.5669282158e+02    2.4994369513e+02   -1.1435297154e-14
  10.0000000    5.0000000000e+00    1.2542708743e+01    4.9952904377e-01    4.9952904022e-01    1.1908340292e-04    5.4522192092e-06   -2.8438824108e-05   -2.3662616543e-04    0.0000000000e+00    8.0375605579e-02    7.9130315965e-02    1.4093653440e-02   -2.8074906672e-07    2.5691421168e+02    2.4997820634e+02    0.0000000000e+00    2.5689784172e+02    2.4997467028e+02    1.0555445407e-13
  12.0000000    6.0000000000e+00    1.2536716521e+01    4.9940970822e-01    4.9940970210e-01    1.5631376917e-04    6.0427414577e-06   -2.9252907533e-05   -3.1156846871e-04    0.0000000000e+00    8.1148939492e-02    7.9785875196e-02    1.4810958775e-02   -2.3909016440e-07    2.5712666835e+02    2.5001582410e+02    0.0000000000e+00    2.5710987943e+02    2.5001158350e+02    2.4247270858e-13
  14.0000000    7.0000000000e+00    1.2532807402e+01    4.9933183608e-01    4.9933183466e-01    7.5292778080e-05    4.2874922158e-06   -2.9836989235e-05   -1.4774338589e-04    0.0000000000e+00    8.1187308475e-02    7.9961141833e-02    1.4056843676e-02   -2.0091832199e-07    2.5734660892e+02    2.5005327999e+02    0.0000000000e+00    2.5732952268e+02    2.5005026258e+02    5.9091620486e-14
  16.0000000    8.0000000000e+00    1.2531010592e+01    4.9929604316e-01    4.9929603916e-01    1.2647659701e-04    7.9856703935e-06   -2.9732224422e-05   -2.5143208842e-04    0.0000000000e+00    8.1150484679e-02    7.8518570325e-02    2.0499640918e-02   -1.7158124840e-07    2.5756998388e+02    2.5010476161e+02    0.0000000000e+00    2.5755268990e+02    2.5009956987e+02    1.0867695632e-12
  18.0000000    9.0000000000e+00    1.2530524969e+01    4.9928637170e-01    4.9928636426e-01    1.7230250581e-04    1.1790062012e-05   -2.8785340084e-05   -3.4369277076e-04    0.0000000000e+00    8.1484370084e-02    7.6204022597e-02    2.8855666827e-02   -1.8237492940e-07    2.5779068810e+02    2.5017545515e+02    0.0000000000e+00    2.5777377520e+02    2.5016782169e+02    9.1943119784e-13
