#       time         integral Re         integral Im
#       r =            40.000000           40.000000
   0.0000000   -1.3523890905e-06   -2.6400746878e-22
   0.5000000   -1.2758326542e-06    9.4707218032e-23
   1.0000000   -1.2531884128e-06   -4.5629921434e-23
   1.5000000   -1.2381463755e-06    5.0574956714e-22
   2.0000000   -1.2595359720e-06    5.2685109252e-22
   2.5000000   -1.3277220321e-06   -4.8060107998e-22
   3.0000000   -1.4021225206e-06   -2.8572958568e-22
   3.5000000   -1.4228899574e-06    1.1220854913e-22
   4.0000000   -1.3707607972e-06   -1.1663874460e-22
   4.5000000   -1.2856501160e-06    1.1908403231e-21
   5.0000000   -1.2240901096e-06   -7.4215346110e-22
   5.5000000   -1.2099381295e-06   -6.2742003337e-24
   6.0000000   -1.2289224603e-06   -4.6412677412e-22
   6.5000000   -1.2562567888e-06    1.0467701328e-22
   7.0000000   -1.2776894018e-06   -2.2015771110e-22
   7.5000000   -1.2897893087e-06   -8.5526533229e-22
   8.0000000   -1.2928657260e-06    1.2837084327e-21
   8.5000000   -1.2885326892e-06    6.1715192859e-22
   9.0000000   -1.2806840967e-06    4.0160781376e-22
   9.5000000   -1.2746044283e-06    5.9891829760e-22
  10.0000000   -1.2738426290e-06    8.3274961500e-23
  10.5000000   -1.2782152510e-06    2.1950054387e-22
  11.0000000   -1.2847197229e-06   -1.5443888978e-22
  11.5000000   -1.2900216815e-06    4.9977736783e-23
  12.0000000   -1.2924855705e-06    4.0341457594e-23
  12.5000000   -1.2928053863e-06   -5.0608231124e-22
  13.0000000   -1.2931484758e-06   -2.1264768082e-23
  13.5000000   -1.2953585689e-06   -1.7502154754e-23
  14.0000000   -1.2995576984e-06   -2.2574858986e-22
  14.5000000   -1.3044527521e-06    6.5864134997e-22
  15.0000000   -1.3091979741e-06    6.1479110282e-22
  15.5000000   -1.3151332435e-06   -2.5223405310e-22
  16.0000000   -1.3257769962e-06    7.5922336627e-22
  16.5000000   -1.3448417877e-06    4.3982493777e-22
  17.0000000   -1.3729861623e-06    3.5186572210e-22
  17.5000000   -1.4042702491e-06    7.7831383994e-22
  18.0000000   -1.4254260797e-06    9.2305403817e-22
  18.5000000   -1.4246114674e-06    1.0304953821e-21
  19.0000000   -1.4111468028e-06    1.6053762882e-21
  19.5000000   -1.4274928597e-06    9.2804350214e-22
  20.0000000   -1.5257832458e-06    1.3495324038e-21
  20.5000000   -1.7281302168e-06    1.3826542111e-21
  21.0000000   -2.0634321656e-06    1.1650478679e-21
  21.5000000   -2.7135708342e-06    2.7498144675e-21
  22.0000000   -4.0032685220e-06    3.4615352192e-21
  22.5000000   -5.7726822404e-06    1.9377620679e-21
  23.0000000   -6.3249160971e-06   -1.2781872281e-21
  23.5000000   -2.5577668239e-06   -5.6188325757e-21
  24.0000000    7.1013547402e-06   -7.2591597296e-21
  24.5000000    1.8810038058e-05   -2.5348671720e-21
  25.0000000    2.4030584184e-05    9.4641123499e-21
  25.5000000    1.6980869287e-05    2.6849539557e-20
  26.0000000    1.2056646343e-06    4.2319667187e-20
  26.5000000   -1.4354216722e-05    3.8548699327e-20
  27.0000000   -2.6122929188e-05    7.0600647800e-21
  27.5000000   -3.8278165955e-05   -5.2248044562e-20
  28.0000000   -5.1966195298e-05   -1.0309431974e-19
  28.5000000   -5.6729073453e-05   -9.1994250848e-20
  29.0000000   -3.8312074491e-05   -2.0871728050e-20
  29.5000000    5.8285365291e-06    9.5177384027e-20
  30.0000000    6.1659170446e-05    1.7910292591e-19
  30.5000000    1.0535660172e-04    1.8181617959e-19
  31.0000000    1.0999846651e-04    1.0997286138e-19
  31.5000000    5.3954511162e-05    5.1283406755e-21
  32.0000000   -5.7519009444e-05   -7.4939425855e-20
  32.5000000   -1.7144691253e-04   -7.7604283465e-20
  33.0000000   -2.0677693529e-04   -2.4713140218e-20
  33.5000000   -1.2182959628e-04   -2.0995710840e-21
  34.0000000    3.1485868574e-05   -7.2515486629e-20
  34.5000000    1.3718833121e-04   -1.8857703747e-19
  35.0000000    1.1473490899e-04   -2.2236140439e-19
  35.5000000   -9.9196421603e-06   -8.9915154989e-20
  36.0000000   -1.3604407433e-04    2.7115954968e-19
  36.5000000   -1.8527612757e-04    5.1969263518e-19
  37.0000000   -1.6037349420e-04    5.1749921920e-19
  37.5000000   -1.1410137720e-04    1.8720311797e-19
  38.0000000   -7.6569222465e-05   -2.5050920326e-19
  38.5000000   -2.1960665059e-05   -5.5531469360e-19
  39.0000000    9.9764903771e-05   -4.9171225530e-19
  39.5000000    3.0770500229e-04   -2.1178120399e-19
  40.0000000    5.6317787803e-04    1.8292732384e-19
  40.5000000    7.8515285217e-04    3.4393860811e-19
  41.0000000    8.8753073570e-04    2.1536316994e-19
  41.5000000    8.1397514358e-04   -7.9849766645e-20
  42.0000000    5.5840273267e-04   -3.7715140192e-19
  42.5000000    1.6736747015e-04   -4.0746708614e-19
  43.0000000   -2.7679044872e-04   -5.8581281293e-20
  43.5000000   -6.8684610660e-04    3.3395970641e-19
  44.0000000   -1.0005535651e-03    6.3751844103e-19
  44.5000000   -1.1925869668e-03    6.1371550986e-19
  45.0000000   -1.2640591182e-03    2.4992843713e-19
  45.5000000   -1.2221440080e-03   -2.2570830651e-19
  46.0000000   -1.0681952047e-03   -6.0395539179e-19
  46.5000000   -8.0241444848e-04   -7.4508594717e-19
  47.0000000   -4.3735807433e-04   -5.9338683059e-19
  47.5000000   -6.0593092196e-06   -3.4441431367e-19
  48.0000000    4.4248225544e-04   -2.0563552391e-19
  48.5000000    8.5592883770e-04   -5.6769478486e-20
  49.0000000    1.1895279220e-03    1.4684068135e-19
  49.5000000    1.4096446373e-03    2.6952676151e-19
  50.0000000    1.4919194036e-03    3.3993593347e-19
  50.5000000    1.4201081944e-03    3.6264247714e-19
  51.0000000    1.1897326572e-03    1.1914690546e-19
  51.5000000    8.1544348163e-04    5.3973867361e-20
  52.0000000    3.3671237478e-04   -1.6605098312e-19
  52.5000000   -1.8396605286e-04   -3.0155694946e-19
  53.0000000   -6.7236466569e-04   -3.5909018693e-19
  53.5000000   -1.0596102493e-03   -1.6885412046e-19
  54.0000000   -1.2977722675e-03   -1.6631709400e-19
  54.5000000   -1.3678058455e-03   -1.1900721900e-19
  55.0000000   -1.2784074924e-03    5.9270458049e-22
  55.5000000   -1.0587478759e-03    1.0177439426e-19
  56.0000000   -7.4940089623e-04    2.8006221689e-19
  56.5000000   -3.9446364204e-04    4.0036757364e-19
  57.0000000   -3.5880905858e-05    5.2719753006e-19
  57.5000000    2.9027105877e-04    5.1511346872e-19
  58.0000000    5.5615317806e-04    4.1348057267e-19
  58.5000000    7.4359644087e-04    2.3522851626e-19
  59.0000000    8.4453743077e-04   -4.2389261416e-22
  59.5000000    8.6002256432e-04   -2.0809845197e-19
  60.0000000    7.9765075240e-04   -3.3083860627e-19
  60.5000000    6.6846807465e-04   -3.5362149515e-19
  61.0000000    4.8532487661e-04   -3.0589798686e-19
  61.5000000    2.6399901523e-04   -1.7255181283e-19
  62.0000000    2.5814238861e-05   -4.6411435407e-20
  62.5000000   -2.0171887119e-04    2.3433541703e-20
  63.0000000   -3.8889812184e-04    1.1175909639e-20
  63.5000000   -5.1146186925e-04   -2.2099385048e-20
  64.0000000   -5.5762042349e-04   -8.5980211761e-20
  64.5000000   -5.3040079461e-04   -1.1563971687e-19
  65.0000000   -4.4445215526e-04   -1.3036227506e-19
  65.5000000   -3.1989704761e-04   -9.4163444400e-20
  66.0000000   -1.7693986792e-04   -3.3210133363e-20
  66.5000000   -3.3406377087e-05    1.8220239256e-20
  67.0000000    9.5280900686e-05    8.2735988006e-20
  67.5000000    1.9586047533e-04    1.4952001035e-19
  68.0000000    2.5835554402e-04    1.9782857420e-19
  68.5000000    2.7819111808e-04    1.8535147983e-19
  69.0000000    2.5752189069e-04    1.2699067824e-19
  69.5000000    2.0447620460e-04    7.9739134164e-20
  70.0000000    1.3069035933e-04   -2.4526439912e-20
  70.5000000    4.8625853642e-05   -8.5062681278e-20
  71.0000000   -3.0134571127e-05   -1.1643469091e-19
  71.5000000   -9.5538822182e-05   -1.1037323324e-19
