#       time         integral Re         integral Im
#       r =            40.000000           40.000000
   0.0000000   -1.3649022782e-06    1.5014921035e-06
   0.5000000   -1.3603995731e-06    1.5340369559e-06
   1.0000000   -1.3549647421e-06    1.5652481965e-06
   1.5000000   -1.3524422948e-06    1.5979946872e-06
   2.0000000   -1.3518573190e-06    1.6305075607e-06
   2.5000000   -1.3525446223e-06    1.6619714130e-06
   3.0000000   -1.3533793087e-06    1.6920237106e-06
   3.5000000   -1.3532761366e-06    1.7207682976e-06
   4.0000000   -1.3520328026e-06    1.7485882255e-06
   4.5000000   -1.3504718251e-06    1.7758895950e-06
   5.0000000   -1.3493726544e-06    1.8029268749e-06
   5.5000000   -1.3487206957e-06    1.8297609150e-06
   6.0000000   -1.3481017476e-06    1.8563047330e-06
   6.5000000   -1.3473000425e-06    1.8824021541e-06
   7.0000000   -1.3463362433e-06    1.9079122214e-06
   7.5000000   -1.3452658916e-06    1.9327755670e-06
   8.0000000   -1.3441277560e-06    1.9570316672e-06
   8.5000000   -1.3429502709e-06    1.9807739073e-06
   9.0000000   -1.3417170752e-06    2.0040674527e-06
   9.5000000   -1.3403868262e-06    2.0268797138e-06
  10.0000000   -1.3389610406e-06    2.0490623851e-06
  10.5000000   -1.3374673136e-06    2.0703866888e-06
  11.0000000   -1.3358695766e-06    2.0906007519e-06
  11.5000000   -1.3340655095e-06    2.1094734378e-06
  12.0000000   -1.3320089819e-06    2.1268073409e-06
  12.5000000   -1.3297970603e-06    2.1424235179e-06
  13.0000000   -1.3275898495e-06    2.1561295309e-06
  13.5000000   -1.3254354148e-06    2.1676843377e-06
  14.0000000   -1.3231728901e-06    2.1767769835e-06
  14.5000000   -1.3204947294e-06    2.1830419998e-06
  15.0000000   -1.3171358760e-06    2.1861301357e-06
  15.5000000   -1.3131615553e-06    2.1858126299e-06
  16.0000000   -1.3093414388e-06    2.1820124719e-06
  16.5000000   -1.3073899141e-06    2.1745916413e-06
  17.0000000   -1.3093385318e-06    2.1628399589e-06
  17.5000000   -1.3150135140e-06    2.1451312926e-06
  18.0000000   -1.3179633189e-06    2.1201010683e-06
  18.5000000   -1.3041183055e-06    2.0905188115e-06
  19.0000000   -1.2609910565e-06    2.0666765025e-06
  19.5000000   -1.2016274439e-06    2.0587198989e-06
  20.0000000   -1.1939903591e-06    2.0508872398e-06
  20.5000000   -1.3714798701e-06    1.9801010716e-06
  21.0000000   -1.8980874283e-06    1.7737513102e-06
  21.5000000   -2.8730388271e-06    1.4669393874e-06
  22.0000000   -4.1617402473e-06    1.2887349858e-06
  22.5000000   -5.1278749955e-06    1.5158081030e-06
  23.0000000   -4.3110703871e-06    2.0883209893e-06
  23.5000000    6.0883756505e-07    2.4391100841e-06
  24.0000000    1.1805103552e-05    2.0411963311e-06
  24.5000000    2.8569343812e-05    1.2009760952e-06
  25.0000000    4.3479840956e-05    6.3984173784e-07
  25.5000000    4.0711021264e-05   -2.5347994570e-07
  26.0000000    1.9502002273e-06   -3.5116166221e-06
  26.5000000   -7.6813562621e-05   -8.6010181281e-06
  27.0000000   -1.6517870202e-04   -8.7589374288e-06
  27.5000000   -1.9725108004e-04    3.8476821820e-06
  28.0000000   -1.1034751053e-04    2.5158019612e-05
  28.5000000    9.0958056128e-05    3.4429794800e-05
  29.0000000    3.0410422012e-04    1.0649297731e-05
  29.5000000    3.8239888679e-04   -4.1690599433e-05
  30.0000000    2.4744088587e-04   -8.6366275071e-05
  30.5000000   -3.7565895557e-05   -8.1275439592e-05
  31.0000000   -3.0618649574e-04   -1.5441764686e-05
  31.5000000   -4.0667711614e-04    7.6092746745e-05
  32.0000000   -2.9694772440e-04    1.3311333240e-04
  32.5000000   -5.0401016570e-05    1.1140937227e-04
  33.0000000    2.0426687728e-04    1.4710804978e-05
  33.5000000    3.4756016994e-04   -1.0521519645e-04
  34.0000000    3.1050714295e-04   -1.8108304449e-04
  34.5000000    1.0265867752e-04   -1.7275134155e-04
  35.0000000   -1.7757272070e-04   -9.0023018859e-05
  35.5000000   -3.8069283658e-04    1.8648340393e-05
  36.0000000   -3.9402498796e-04    9.9854529526e-05
  36.5000000   -2.1881841724e-04    1.2556969013e-04
  37.0000000    3.4412181482e-05    1.0155829302e-04
  37.5000000    2.3219629288e-04    5.4343199119e-05
  38.0000000    3.1088218388e-04    1.1431157832e-05
  38.5000000    3.0230838815e-04   -1.0483165042e-05
  39.0000000    2.8574027033e-04   -5.9953540798e-06
  39.5000000    3.1786316871e-04    2.2501069057e-05
  40.0000000    3.9536160373e-04    6.5265646053e-05
  40.5000000    4.6655482523e-04    1.0429416494e-04
  41.0000000    4.7116576556e-04    1.1812068735e-04
  41.5000000    3.7615483710e-04    9.3839245189e-05
  42.0000000    1.8801932170e-04    3.7547880677e-05
  42.5000000   -5.8274320432e-05   -2.7475200183e-05
  43.0000000   -3.2023070684e-04   -7.5297553052e-05
  43.5000000   -5.6376056251e-04   -9.3125027695e-05
  44.0000000   -7.6721337385e-04   -8.5909137936e-05
  44.5000000   -9.1636203403e-04   -6.7787375946e-05
  45.0000000   -9.9775442768e-04   -4.9372650151e-05
  45.5000000   -9.9610232105e-04   -3.1477029755e-05
  46.0000000   -8.9722347786e-04   -8.5502511005e-06
  46.5000000   -6.9493087894e-04    2.2919403480e-05
  47.0000000   -3.9842848068e-04    5.8199458862e-05
  47.5000000   -3.5797747151e-05    8.4439141931e-05
  48.0000000    3.4966404247e-04    8.6598402348e-05
  48.5000000    7.0920409280e-04    5.5275885864e-05
  49.0000000    9.9897562358e-04   -8.2607853762e-06
  49.5000000    1.1857230933e-03   -9.2369657058e-05
  50.0000000    1.2477267273e-03   -1.7941254055e-04
  50.5000000    1.1753526956e-03   -2.5074559962e-04
  51.0000000    9.7407689349e-04   -2.9003718912e-04
  51.5000000    6.6762748384e-04   -2.8536777826e-04
  52.0000000    2.9651515619e-04   -2.3147593151e-04
  52.5000000   -8.9506669453e-05   -1.3196022585e-04
  53.0000000   -4.4148277375e-04    2.3395816923e-07
  53.5000000   -7.1889061957e-04    1.4511682069e-04
  54.0000000   -8.9317560463e-04    2.8000774562e-04
  54.5000000   -9.4925209366e-04    3.8418717394e-04
  55.0000000   -8.8729695982e-04    4.4245729859e-04
