#       time                file                area                mass    irreducible mass                spin      dimless spin-x      dimless spin-y      dimless spin-z  dimless spin-z-alt     linear mom. |P|      linear mom. Px      linear mom. Py      linear mom. Pz            origin_x            origin_y            origin_z            center_x            center_y            center_z
1962.0000000    9.8100000000e+02                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    2.5601351832e+02    2.5603133895e+02    0.0000000000e+00    2.5601345695e+02    2.5602620176e+02    0.0000000000e+00
1964.0000000    9.8200000000e+02                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    2.5601381279e+02    2.5603115982e+02    0.0000000000e+00    2.5601345695e+02    2.5602620176e+02    0.0000000000e+00
1966.0000000    9.8300000000e+02                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    2.5601370097e+02    2.5603169640e+02    0.0000000000e+00    2.5601345695e+02    2.5602620176e+02    0.0000000000e+00
1968.0000000    9.8400000000e+02    3.9436971219e+01    9.5940208559e-01    8.8576160097e-01    6.8064703176e-01    2.5343812416e-07    5.0748973646e-08    7.0944918922e-01    7.8643289272e-01    1.6134606705e-05    5.4516134994e-06    1.5185698621e-05    1.0825521729e-09    2.5601393009e+02    2.5603204821e+02    0.0000000000e+00    2.5601068287e+02    2.5603309220e+02    3.2462921240e-13
1970.0000000    9.8500000000e+02    3.9945807040e+01    9.6199922474e-01    8.9145755971e-01    6.7014692814e-01    8.7025167885e-07    1.0878540524e-06    6.9661898981e-01    7.1973792410e-01    2.8160930333e-05    1.3135851555e-05    2.4909576849e-05    1.9552659151e-08    2.5601068287e+02    2.5603309220e+02    3.2462921240e-13    2.5601518591e+02    2.5603221582e+02    8.5209617140e-14
1972.0000000    9.8600000000e+02    4.0136859425e+01    9.6285760873e-01    8.9358684369e-01    6.6561126980e-01   -3.1098415479e-07   -3.0049520233e-06    6.9128733445e-01    6.9114874149e-01    2.4789745560e-05    2.0521149391e-05    1.3907097876e-05    8.0877895874e-08    2.5601968895e+02    2.5603133943e+02   -1.5420997812e-13    2.5601324268e+02    2.5603230549e+02   -1.3679612998e-12
1974.0000000    9.8700000000e+02    4.0224583303e+01    9.6332113451e-01    8.9456283084e-01    6.6380669234e-01   -9.1254529262e-08    4.3175062618e-06    6.8908141693e-01    6.8467499421e-01    3.5897696328e-05   -3.5151985807e-06    3.5724553150e-05    2.1043496034e-07    2.5600485317e+02    2.5603336123e+02   -4.0348835384e-12    2.5601314232e+02    2.5603250870e+02    5.6654680947e-13
1976.0000000    9.8800000000e+02    4.0271772012e+01    9.6363426809e-01    8.9508739677e-01    6.6310789879e-01    6.1612109205e-07   -5.7477244217e-07    6.8813233480e-01    6.8603133267e-01    1.9825873099e-05    6.5831236293e-06    1.8701007463e-05    6.8774928877e-09    2.5601488484e+02    2.5603282542e+02    5.8887339449e-12    2.5601488896e+02    2.5603131734e+02    6.9833028249e-12
1978.0000000    9.8900000000e+02    4.0300686706e+01    9.6385776576e-01    8.9540867062e-01    6.6281604167e-01   -1.3971501170e-06   -1.7243186379e-06    6.8766997083e-01    6.8743923921e-01    1.7670591045e-05    1.6239463535e-05    6.9660964834e-06    5.5783174566e-08    2.5601848259e+02    2.5602873142e+02    1.7882306746e-11    2.5601281585e+02    2.5603292449e+02   -2.1858070909e-12
1980.0000000    9.9000000000e+02    4.0319523110e+01    9.6402344072e-01    8.9561790165e-01    6.6271286030e-01    2.8061236737e-06    2.9623617904e-06    6.8744475735e-01    6.8662185678e-01    2.3539843022e-05    1.0324848548e-05    2.1154151454e-05    1.5358465692e-07    2.5600692301e+02    2.5603733017e+02   -2.6940782938e-11    2.5601289922e+02    2.5603290667e+02   -4.3474668310e-12
