#       time         integral Re         integral Im
#       r =            40.000000           40.000000
   0.0000000    3.6829036915e-16    2.3479294337e-16
   0.5000000    1.4650876013e-16   -2.3395321612e-16
   1.0000000   -1.5678545666e-16    2.4743418604e-16
   1.5000000   -2.1100682796e-16    5.0448394780e-16
   2.0000000   -2.7116039764e-16   -4.2214999810e-17
   2.5000000    2.3350472631e-16    1.3225639881e-16
   3.0000000   -5.0355402277e-17    3.8426327138e-16
   3.5000000   -1.2569116274e-16    2.1525569248e-16
   4.0000000   -3.5683861373e-16   -4.4451776960e-16
   4.5000000    2.2756644547e-16   -3.3158174076e-17
   5.0000000    2.3625721992e-16    9.0600952406e-17
   5.5000000   -7.5661664788e-17    6.2887074140e-16
   6.0000000    1.8855654166e-16    3.9355149208e-16
   6.5000000   -1.4064085657e-16    4.2475362494e-16
   7.0000000   -3.1812028225e-16   -1.0981829447e-16
   7.5000000   -3.8708678890e-16   -1.9063247535e-16
   8.0000000    9.9553529745e-18    6.7618462711e-16
   8.5000000   -2.0228228129e-16    4.2104725232e-16
   9.0000000    4.8950633649e-17   -3.8034283641e-17
   9.5000000   -2.6240952729e-16   -5.4963353212e-17
  10.0000000   -2.6469464723e-16   -3.1555608685e-16
  10.5000000    1.1210231253e-16    1.5445320896e-16
  11.0000000   -1.6265223132e-16    1.7174135174e-16
  11.5000000   -4.8032478137e-16   -4.0623687635e-16
  12.0000000   -3.7926849985e-16   -4.0665892602e-16
  12.5000000   -2.4495802031e-16   -3.9342386415e-16
  13.0000000    5.6803579256e-17    3.9861886969e-16
  13.5000000    2.0796539948e-16    1.2550652133e-17
  14.0000000    2.3711486512e-16    7.8246969113e-17
  14.5000000    8.1910384272e-17    5.7562591264e-16
  15.0000000    8.3161507822e-17    6.7648024771e-17
  15.5000000    6.2360592624e-16   -8.7166694594e-16
  16.0000000    2.6129517148e-16   -1.5739572423e-15
  16.5000000    4.7191599447e-16   -3.9272555366e-15
  17.0000000    1.0604387548e-15   -5.1850298782e-15
  17.5000000    3.3647139668e-15    1.7123673243e-14
  18.0000000    5.4750646351e-15    6.3667299081e-14
  18.5000000   -3.7536508498e-15    4.1979017456e-14
  19.0000000   -4.4306455645e-14   -1.6870488567e-13
  19.5000000   -6.2457536669e-14   -4.1823759172e-13
  20.0000000    1.0369525180e-13   -1.1564402338e-13
  20.5000000    3.6592415687e-13    1.0436951167e-12
  21.0000000    1.5707656179e-13    1.8031624001e-12
  21.5000000   -6.7509827341e-13   -8.8102485450e-14
  22.0000000   -1.3049053256e-12   -4.0854438761e-12
  22.5000000   -8.8665630497e-13   -3.5391265590e-12
  23.0000000    1.5930123039e-12    5.2895494433e-12
  23.5000000    6.6813714769e-12    4.0088883656e-12
  24.0000000    9.3834134543e-12   -2.4023290957e-11
  24.5000000    2.5118825312e-13   -2.3816780575e-11
  25.0000000   -2.1106669855e-11    7.3887944900e-11
  25.5000000   -3.8955939719e-11    1.5221602589e-10
  26.0000000   -3.4506414432e-11   -1.2550598090e-11
  26.5000000   -8.6705087710e-12   -3.1832037144e-10
  27.0000000    1.7779339880e-11   -3.2957678769e-10
  27.5000000    6.0761416340e-11    6.3695764153e-11
  28.0000000    2.0293139173e-10    4.0680049962e-10
  28.5000000    4.2318704868e-10    3.7752491403e-10
  29.0000000    3.6926074578e-10    2.3674754921e-10
  29.5000000   -3.8605054744e-10    2.2496047030e-10
  30.0000000   -1.5504153409e-09    4.4413829019e-12
  30.5000000   -1.8431213901e-09   -7.1377362785e-10
  31.0000000   -2.2114934270e-10   -1.3044958761e-09
  31.5000000    2.4275441219e-09   -8.2297324762e-10
  32.0000000    3.5544283434e-09    5.2485802242e-10
  32.5000000    1.6335853453e-09    1.4360792661e-09
  33.0000000   -1.8027749369e-09    1.2304360506e-09
  33.5000000   -3.6176332340e-09    5.0648721931e-10
  34.0000000   -2.3596726031e-09   -1.5479076021e-10
  34.5000000    6.4824791777e-10   -9.1435931161e-10
  35.0000000    3.1557108789e-09   -1.6727399957e-09
  35.5000000    3.7848164393e-09   -1.6094685772e-09
  36.0000000    2.0953791819e-09   -3.5558603249e-10
  36.5000000   -1.5958311341e-09    1.2817382347e-09
  37.0000000   -5.7266979552e-09    2.1320843010e-09
  37.5000000   -7.9975065177e-09    1.6544311389e-09
  38.0000000   -7.3780799564e-09    4.1630571980e-10
  38.5000000   -4.6866387754e-09    8.0380650098e-11
  39.0000000   -3.6056218232e-10    1.9739894077e-09
  39.5000000    6.6622778093e-09    4.8891189229e-09
  40.0000000    1.6024642481e-08    5.3598991934e-09
  40.5000000    2.3439909610e-08    1.1498769280e-09
  41.0000000    2.3871765172e-08   -5.9806731586e-09
  41.5000000    1.7000079049e-08   -1.1338436450e-08
  42.0000000    7.4792700041e-09   -1.0876832124e-08
  42.5000000   -2.6398419713e-10   -4.4354251996e-09
  43.0000000   -6.2150235183e-09    3.2690187553e-09
  43.5000000   -1.4320135544e-08    5.2854003448e-09
  44.0000000   -2.9343241210e-08   -1.8108430236e-09
  44.5000000   -5.3075324856e-08   -1.3590427339e-08
  45.0000000   -8.0220221080e-08   -1.9960781190e-08
  45.5000000   -9.6954617451e-08   -1.2761496081e-08
  46.0000000   -8.7257799811e-08    8.1559686151e-09
  46.5000000   -4.4961698447e-08    3.4853570445e-08
  47.0000000    2.0034900952e-08    5.5175064142e-08
  47.5000000    8.8822434288e-08    5.7223481298e-08
  48.0000000    1.4616103251e-07    3.4374865984e-08
  48.5000000    1.8549724545e-07   -9.4674306430e-09
  49.0000000    2.0348626750e-07   -5.8442047685e-08
  49.5000000    1.9261511650e-07   -9.0849464570e-08
  50.0000000    1.4095079928e-07   -9.0261635409e-08
  50.5000000    4.1221076670e-08   -5.3942633666e-08
  51.0000000   -9.5872761296e-08    6.5908386183e-09
  51.5000000   -2.3477235486e-07    7.0774796071e-08
  52.0000000   -3.2524577268e-07    1.1530794477e-07
  52.5000000   -3.2939774292e-07    1.2117364674e-07
  53.0000000   -2.4786566163e-07    8.2490955012e-08
  53.5000000   -1.2139672986e-07    1.2476637776e-08
  54.0000000   -2.5867825107e-09   -6.1270307652e-08
  54.5000000    7.8514104235e-08   -1.1184028418e-07
  55.0000000    1.2511740284e-07   -1.2683221867e-07
  55.5000000    1.5659067039e-07   -1.0947187669e-07
  56.0000000    1.8584053889e-07   -6.9170734147e-08
  56.5000000    2.1137729753e-07   -1.4982420784e-08
  57.0000000    2.2340173257e-07    4.0833185981e-08
  57.5000000    2.1191039152e-07    7.8091369500e-08
  58.0000000    1.7033685471e-07    7.5253225572e-08
  58.5000000    9.6591550403e-08    2.5622842982e-08
  59.0000000   -5.6362415446e-09   -5.0738502216e-08
  59.5000000   -1.2552893802e-07   -1.1010060770e-07
  60.0000000   -2.4504793389e-07   -1.0374224572e-07
  60.5000000   -3.4065199257e-07   -5.5684175424e-09
  61.0000000   -3.8726415103e-07    1.6478130765e-07
  61.5000000   -3.6429009754e-07    3.4097526202e-07
  62.0000000   -2.6184337081e-07    4.3832953976e-07
  62.5000000   -8.6053121421e-08    3.9598543789e-07
  63.0000000    1.3579687409e-07    2.0624960096e-07
  63.5000000    3.5296226332e-07   -8.2700018737e-08
  64.0000000    4.9991034616e-07   -3.8469519193e-07
  64.5000000    5.1955295244e-07   -6.0303370322e-07
  65.0000000    3.9096621175e-07   -6.6280867430e-07
  65.5000000    1.4490590062e-07   -5.4205752908e-07
  66.0000000   -1.4230628364e-07   -2.8563726522e-07
  66.5000000   -3.7483788291e-07    1.3092116924e-08
  67.0000000   -4.7463835990e-07    2.5691938813e-07
  67.5000000   -4.1580919311e-07    3.8851226290e-07
  68.0000000   -2.3806884778e-07    4.0618206041e-07
  68.5000000   -2.7514809471e-08    3.4619156187e-07
  69.0000000    1.2815662451e-07    2.4997808248e-07
  69.5000000    1.8411414898e-07    1.4226039817e-07
  70.0000000    1.5536676600e-07    3.2665408862e-08
  70.5000000    9.7562088473e-08   -6.8483531009e-08
  71.0000000    6.6558286376e-08   -1.4053091068e-07
  71.5000000    8.3306997710e-08   -1.6049673016e-07
  72.0000000    1.2438074045e-07   -1.2189190680e-07
  72.5000000    1.4159152882e-07   -4.6516525124e-08
  73.0000000    9.7430037813e-08    2.4143852132e-08
  73.5000000   -6.1995934043e-09    5.4935109148e-08
  74.0000000   -1.2545542870e-07    4.1379080292e-08
  74.5000000   -2.0097903342e-07    1.2134630485e-08
  75.0000000   -1.9507916778e-07    6.3954355229e-09
  75.5000000   -1.1395630077e-07    4.3266052996e-08
  76.0000000   -1.5571789078e-09    1.0545366561e-07
  76.5000000    8.8249965721e-08    1.4737835856e-07
  77.0000000    1.2205555722e-07    1.2094923110e-07
  77.5000000    1.0146437279e-07    4.1612100146e-09
  78.0000000    5.4545573944e-08   -1.8077121568e-07
  78.5000000    1.1864587367e-08   -3.6933091931e-07
  79.0000000   -1.4891111343e-08   -4.8044507838e-07
  79.5000000   -3.5381539193e-08   -4.5598518998e-07
  80.0000000   -6.2571215661e-08   -2.9036579947e-07
  80.5000000   -9.0872041295e-08   -3.1973116265e-08
  81.0000000   -9.2831243693e-08    2.3972553947e-07
  81.5000000   -4.1394509179e-08    4.4392486650e-07
  82.0000000    5.9533649102e-08    5.2360429256e-07
  82.5000000    1.6378105629e-07    4.6338784297e-07
  83.0000000    2.0439515214e-07    2.9586399799e-07
  83.5000000    1.3585972749e-07    8.9762479539e-08
  84.0000000   -3.0834543809e-08   -7.8687318076e-08
  84.5000000   -2.2426671024e-07   -1.5845015709e-07
  85.0000000   -3.4563968997e-07   -1.4385278251e-07
  85.5000000   -3.2242764789e-07   -7.1579486452e-08
  86.0000000   -1.5113650001e-07    2.9043029844e-09
  86.5000000    9.7891059680e-08    3.3268652017e-08
  87.0000000    3.1617429942e-07   -2.3024046921e-09
  87.5000000    4.1081747780e-07   -1.0005584553e-07
  88.0000000    3.4736680906e-07   -2.3367845843e-07
